skill_id,skill_name,skill_category
1,agile,soft
2,agile/scrum,technical
3,ai/ml,technical
4,airflow,technical
5,ajax,technical
6,alteryx,technical
7,apache,technical
8,artificial_intelligence,technical
9,aspnet,technical
10,atlassian,technical
11,aurora,technical
12,aws,technical
13,azure,technical
14,backend,technical
15,bash,technical
16,bigquery,technical
17,bitbucket,technical
18,bloomberg,technical
19,business_intelligence,technical
20,c,technical
21,c/c++,technical
22,chainer,technical
23,cicd,technical
24,cloud,technical
25,codebase,technical
26,cognos,technical
27,cpp,technical
28,css,technical
29,dart,technical
30,data_warehousing,technical
31,database,technical
32,datadog,technical
33,datalake,technical
34,datalakes,technical
35,dataops,technical
36,datarobot,technical
37,dax,technical
38,delphi,technical
39,devops,technical
40,docker,technical
41,dplyr,technical
42,ember.js,technical
43,etl,technical
44,excel,soft
45,frontend,technical
46,fullstack,technical
47,gcp,technical
48,gdpr,technical
49,ggplot2,technical
50,git,technical
51,github,technical
52,gitlab,technical
53,go,technical
54,golang,technical
55,graphql,technical
56,hadoop,technical
57,html,technical
58,html5,technical
59,iaas,technical
60,ibm,technical
61,ios,technical
62,iot,technical
63,java,technical
64,javascript,technical
65,javascript/typescript,technical
66,jira,technical
67,jquery,technical
68,jse/jee,technical
69,json,technical
70,jupyter,technical
71,kanban,soft
72,keras,technical
73,kotlin,technical
74,linux,technical
75,linux/unix,technical
76,looker,technical
77,lua,technical
78,machine_learning,technical
79,machinelearning,technical
80,macros,technical
81,matlab,technical
82,matplotlib,technical
83,microsoft,technical
84,microstrategy,technical
85,mlops,technical
86,mlr,technical
87,mongodb,technical
88,mssql,technical
89,mxnet,technical
90,mysql,technical
91,nlp,technical
92,nltk,technical
93,no-sql,technical
94,nodejs,technical
95,nosql,technical
96,nuix,technical
97,numpy,technical
98,objectivec,technical
99,oracle,technical
100,outlook,technical
101,paas,technical
102,pandas,technical
103,pascal,technical
104,perl,technical
105,php,technical
106,plotly,technical
107,plsql,technical
108,postgresql,technical
109,powerbi,technical
110,powerpoint,technical
111,powerpoints,technical
112,powershell,technical
113,programming,technical
114,pyspark,technical
115,python,technical
116,pytorch,technical
117,qlik,technical
118,r,technical
119,redis,technical
120,redshift,technical
121,rshiny,technical
122,ruby,technical
123,rust,technical
124,saas,technical
125,sap,technical
126,sas,technical
127,sass,technical
128,scala,technical
129,scikit-learn,technical
130,scrum,soft
131,scrum/agile,technical
132,seaborn,technical
133,selenium,technical
134,server,technical
135,sharepoint,technical
136,shell,technical
137,shogun,technical
138,slack,technical
139,snowflake,technical
140,spark,technical
141,splunk,technical
142,spreadsheet,technical
143,spreadsheets,technical
144,spss,technical
145,sql,technical
146,ssas,technical
147,ssis,technical
148,ssrs,technical
149,swift,technical
150,tableau,technical
151,tensorflow,technical
152,terminal,technical
153,theano,technical
154,tidyr,technical
155,tsql,technical
156,twilio,technical
157,ubuntu,technical
158,unix,technical
159,unix/linux,technical
160,vb.net,technical
161,vba,technical
162,visio,technical
163,visualbasic,technical
164,vue,technical
165,vue.js,technical
166,word,technical
167,xml,technical
